"Unit","Year","Block","Treatment","SppGroup","SizeClass","Volume_Ha.1","Volume_Ha.2","Volume_Ha.3","Volume_Ha.4","Volume_Ha","pro_DClass1","pro_DClass2","pro_DClass3","pro_DClass4","pro_sppXgroup"
"C1","1992",2,4,"decid","Large",1.40367707037715,5.63664073573326,3.69424775846331,0.548311355616075,101.632251320218,0.0138113350057997,0.0554611421326643,0.0363491678131154,0.0053950527366405,0.11101669768822
"C2","1992",2,2,"decid","Large",0,2.11648183267805,6.08351449056036,0,89.4830424581545,0,0.0236523231054397,0.0679851100660243,0,0.091637433171464
"C3","1992",3,3,"decid","Large",0.72514176780226,0.548311355616075,0,0,84.1068496163388,0.0086216731587268,0.00651922356047395,0,0,0.0151408967192007
"A1","1992",1,1,"cedar","Small",0.165864185073863,0,0.537345128503754,0.659344405128331,80.2796363541386,0.00206608042346111,0,0.00669341757022112,0.00821309655937847,0.0169725945530607
"A2","1992",1,3,"cedar","Small",0,0.231661547747792,0.516783452668151,0,94.3479349608581,0,0.00245539605974313,0.00547742197942698,0,0.00793281803917011
"A3","1992",3,1,"cedar","Small",0.540086685281834,0.397525732821655,0.8731858338186,1.40504784876619,133.117660138082,0.00405721288010627,0.00298627343967213,0.00655950407265912,0.010554931985048,0.0241579223774856
"A4","1992",3,4,"cedar","Small",0.350919267594288,0.474289322607905,0.308425137534042,0,156.845834052367,0.0022373515351203,0.00302392043418603,0.00196642224766433,0,0.00722769421697066
"B1","1992",1,4,"cedar","Small",0,1.64356328845919,6.2315585565767,0,87.1719100942327,0,0.0188542764140707,0.0714858553614391,0,0.0903401317755099
"B2","1992",3,2,"cedar","Small",0.43453674932574,0,2.14663895723694,0,115.993896502192,0.00374620357130195,0,0.0185064819957693,0,0.0222526855670712
"B3","1992",1,2,"cedar","Small",0.912938407100765,0.444132198049021,0,0,50.8449120062787,0.0179553542542866,0.00873503720478809,0,0,0.0266903914590747
"B4","1992",2,1,"cedar","Small",0,0,0.197392088021787,0,57.6521974862522,0,0,0.00342384326406391,0,0.00342384326406391
"B5","1992",2,3,"cedar","Small",0,1.72718077019064,2.79775869203102,0,61.6891398419756,0,0.0279981334577695,0.0453525320534187,0,0.0733506655111882
"C1","1992",2,4,"cedar","Small",0.411233516712057,1.62163083423454,0.308425137534042,0,101.632251320218,0.00404628955248038,0.0159558684686143,0.00303471716436028,0,0.0230368751854549
"C2","1992",2,2,"cedar","Small",0.165864185073863,0.540086685281834,0.429053635769579,0.268672564251877,89.4830424581545,0.00185358231590557,0.00603563167327931,0.00479480384197062,0.00300249697452473,0.0156865148056802
"C3","1992",3,3,"cedar","Small",0,0.411233516712057,0.137077838904019,0,84.1068496163388,0,0.00488941767035546,0.00162980589011849,0,0.00651922356047395
"D2","1992",4,1,"cedar","Small",0,0.444132198049021,1.3406212644813,0.444132198049021,120.232343281104,0,0.00369394944761774,0.0111502548141054,0.00369394944761774,0.0185381537093409
"D3","1992",4,4,"cedar","Small",0,0.231661547747792,0.938983196492529,0,285.485161193455,0,0.000811466160900775,0.00328907881785226,0,0.00410054497875303
"D4","1992",4,2,"cedar","Small",0,0.396154954432615,1.68331586174135,0.350919267594288,163.315908048637,0,0.00242569728305117,0.0103071150989164,0.00214871454830831,0.0148815269302759
"D5","1992",4,3,"cedar","Small",0,0,0.494850998443508,0,132.932605055561,0,0,0.00372257053291536,0,0.00372257053291536
"A1","1992",1,1,"cedar","Large",1.07469025700751,0,2.26726745547247,1.1528246251828,80.2796363541386,0.0133868351404422,0,0.0282421241355759,0.0143601126952958,0.0559890719713139
"A2","1992",1,3,"cedar","Large",5.26927212747048,4.76619645869274,0,0,94.3479349608581,0.0558493636310804,0.0505172313593305,0,0,0.106366594990411
"A3","1992",3,1,"cedar","Large",0.72514176780226,7.10611516878434,0.926646190991167,0.604513269566723,133.117660138082,0.00544737465374674,0.0533822121077942,0.00696110636282192,0.00454119512722555,0.0703318882515884
"A4","1992",3,4,"cedar","Large",7.69966221123874,0,13.2485731300734,1.67920352657423,156.845834052367,0.0490906389561357,0,0.0844687601052254,0.010706076681728,0.144265475743089
"B1","1992",1,4,"cedar","Large",0,1.62300161262358,14.770137141908,4.61129850073119,87.1719100942327,0,0.0186184013963801,0.169436887707767,0.0528989039674178,0.240954193071564
"B2","1992",3,2,"cedar","Large",0,3.99718978244119,14.5192846967137,5.27475524102664,115.993896502192,0,0.0344603457852255,0.125172833524386,0.0454744206383909,0.205107599948002
"B4","1992",2,1,"cedar","Large",0,1.07469025700751,10.437106654152,0,57.6521974862522,0,0.0186409244376813,0.181035712587379,0,0.199676637025061
"B5","1992",2,3,"cedar","Large",0,1.67920352657423,3.29123891208549,0,61.6891398419756,0,0.027220407528387,0.0533519987556385,0,0.0805724062840255
"C1","1992",2,4,"cedar","Large",0,3.10481305117603,0.604513269566723,0,101.632251320218,0,0.0305494861212268,0.00594804564214615,0,0.036497531763373
"C2","1992",2,2,"cedar","Large",0,0,0.789568352087149,0,89.4830424581545,0,0,0.00882366457819513,0,0.00882366457819513
"C3","1992",3,3,"cedar","Large",0,0,0,2.14938051401502,84.1068496163388,0,0,0,0.0255553563570579,0.0255553563570579
"D2","1992",4,1,"cedar","Large",1.67920352657423,0,4.57428748422711,0,120.232343281104,0.0139663212139868,0,0.0380453990947544,0,0.0520117203087412
"D3","1992",4,4,"cedar","Large",0,11.2527197956309,40.1034925497598,0,285.485161193455,0,0.0394161284901448,0.140474875759249,0,0.179891004249394
"D4","1992",4,2,"cedar","Large",0,0,31.8815637722967,0,163.315908048637,0,0,0.195214074080291,0,0.195214074080291
"D5","1992",4,3,"cedar","Large",0,0,10.2506807932425,0.856736493150118,132.932605055561,0,0,0.0771118627289226,0.00644489358191717,0.0835567563108398
