Year,Unit,Treatment,Block,TreatmentUnit,TreatmentType,TreatmentUnitType,Plot,Subplot,CWD_piece,Sp,Decay,Diam1m,Diam2m,large_diam,small_diam,Elev1,Elev2,high_elev,low_elev,Lngth2bndry1,Lngth2bndry2,LngthInPlot,Lngth2end,Bark,Growth
2018,D4-4-M,heavy,mesic oldgrowth,D4,D4-4,D4 M,4,M,3,U,3,0.31,0.165,0.31,0.165,0,0,0,0,2.5,0,2.5,4.1,0,2
2018,A2-1,light,submesic mature,A2,A2-1,A2,1,,16,Hw,3,0.114,0.128,0.128,0.114,0,4,4,0,0,0,4.6,4.6,2,3
2018,A2-4,light,submesic mature,A2,A2-4,A2,4,,6,Hw,1,0.04,0.105,0.105,0.04,15,20,20,15,10.2,0,10.2,10.8,3,2
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,43,U,4,0.115,0.101,0.115,0.101,0,0,0,0,4.3,0,4.3,5.6,0,3
2018,D4-4-M,heavy,mesic oldgrowth,D4,D4-4,D4 M,4,M,15,U,3,0.228,0.234,0.234,0.228,0,30,30,0,3,0,3,3.5,0,3
2018,D4-4-M,heavy,mesic oldgrowth,D4,D4-4,D4 M,4,M,10,U,4,0.24,0.259,0.259,0.24,43,0,43,0,3.2,0,3.2,3.6,0,2
2018,D4-4-M,heavy,mesic oldgrowth,D4,D4-4,D4 M,4,M,2,U,3,0.317,0.159,0.317,0.159,26,56,56,26,6.8,12.7,5.9,24.1,0,3
2018,B2-1-O,heavy,subhygric mature,B2,B2-1,B2 O,1,O,11,Hw,1,0.155,0.02,0.155,0.02,0,40,40,0,10,0,10,12.5,2,1
2018,C2-2-M,heavy,mesic mature,C2,C2-2,C2 M,2,M,31,Hw,3,0.05,0.157,0.157,0.05,0,10,10,0,9,0,9,13.8,2,2
2018,C1-1,noharvest,mesic mature,C1,C1-1,C1,1,,34,U,4,0.09,0.105,0.105,0.09,0,0,0,0,0.4,3.2,2.8,3.8,0,3
2018,A3-2,clearcut,subhygric mature,A3,A3-2,A3,2,,11,U,4,0.221,0.205,0.221,0.205,0,0,0,0,2.7,0,2.7,3.8,0,3
2018,B5-3,light,mesic mature,B5,B5-3,B5,3,,8,Cw,1,0.119,0.042,0.119,0.042,10,100,100,10,1.4,0,1.4,8.4,3,0
2018,A1-0,clearcut,submesic mature,A1,A1-0,A1,0,,28,U,2,0.104,0.067,0.104,0.067,0,23,23,0,4.6,0,4.6,4.9,0,2
2018,D4-4-M,heavy,mesic oldgrowth,D4,D4-4,D4 M,4,M,12,Hw,3,0.451,0.1,0.451,0.1,0,0,0,0,7.5,0,7.5,23,2,3
2018,C3-3,light,subhygric mature,C3,C3-3,C3,3,,6,U,4,0.16,0.209,0.209,0.16,0,34,34,0,0,0,1.7,1.7,0,2
2018,A3-0,clearcut,subhygric mature,A3,A3-0,A3,0,,28,Ep,4,0.227,0.1,0.227,0.1,0,0,0,0,4.1,0,4.1,22.8,2,3
2018,B1-4,noharvest,submesic mature,B1,B1-4,B1,4,,2,U,3,0.203,0.16,0.203,0.16,0,0,0,0,3.8,0,3.8,7.5,0,3
2018,A2-2,light,submesic mature,A2,A2-2,A2,2,,12,U,4,0.204,0.169,0.204,0.169,0,0,0,0,0,0,1.7,1.7,0,3
2018,A3-2,clearcut,subhygric mature,A3,A3-2,A3,2,,25,Cw,3,0.22,0.198,0.22,0.198,8,0,8,0,2.9,0,2.9,4,1,2
2018,C3-1,light,subhygric mature,C3,C3-1,C3,1,,11,Hw,2,0.102,0.064,0.102,0.064,0,0,0,0,0.3,0,0.3,7.7,3,0
2018,B2-2-O,heavy,subhygric mature,B2,B2-2,B2 O,2,O,12,Hw,2,0.054,0.18,0.18,0.054,20,210,210,20,7.2,0,7.2,9.7,3,0
2018,C3-1,light,subhygric mature,C3,C3-1,C3,1,,2,Hw,3,0.143,0.133,0.143,0.133,0,0,0,0,0,0,3.2,3.2,2,1
2018,B3-4-M,heavy,submesic mature,B3,B3-4,B3 M,4,M,8,Act,3,0.02,0.443,0.443,0.02,60,132,132,60,18,19.3,1.3,29.2,2,1
2018,A2-2,light,submesic mature,A2,A2-2,A2,2,,20,U,4,0.193,0.133,0.193,0.133,10,0,10,0,0,0,2,2,0,3
