,Unit,Spp,Init.Dens.1.3Ht,Init.Dens.2.5,Init.Dens.5,Init.Dens.0-7.5
146,A2,Bl,298.0441176,0,133.0232558,0
147,A3,Bl,102.0597097,0,149.8625115,51.56204881
148,A4,Bl,711.0339167,283.3687544,0,0
149,B1,Bl,1958.175935,73.1843155,90,0
150,B2,Bl,202.67,0,200.0700035,118.953575
151,B3,Bl,3871.13516,106.9493055,0,206.7586466
152,B4,Bl,3392.893215,178.9646355,0,24.999
153,B5,Bl,939.5298013,0,0,0
154,C1,Bl,0,0,0,0
155,C2,Bl,345.9963787,0,0,0
156,C3,Bl,1158.390093,0,0,0
157,D2,Bl,0,0,0,52.02916875
158,D3,Bl,58.74467212,0,0,0
159,D4,Bl,208.9381443,93.15068493,0,0
160,D5,Bl,0,0,272.7024816,19.37906977
