Unit,Gd Pt,Plot Size,Tree No,Spp,DBH,Tree Class,Comments
A2,A050,7.98,568,Hw,40.3,1,
A2,A050,7.98,569,Hw,28.5,1,
A2,A050,7.98,570,Hw,15.5,1,estimated DBH - forked at 30cm
A2,A050,7.98,571,Hw,26.5,1,estimated DBH - forked at 30cm
A2,A050,7.98,572,Cw,23.2,1,
A2,A050,7.98,573,Hw,36.2,1,
A2,A050,7.98,574,Hw,39.9,1,
A2,A050,7.98,575,Hw,18,5,
A2,A050,7.98,576,Hw,34.2,1,
A2,A050,7.98,577,Hw,47,1,
A2,A050,7.98,578,Sx,38.9,1,
A2,C000,5.64,356,Cw,11,1,
A2,C000,5.64,549,Cw,13.2,1,
A2,C000,5.64,550,Hw,28,5,Broken at 40cm
A2,C000,5.64,551,Hw,36.3,1,
A2,C000,5.64,552,Hw,11.5,1,
A2,C000,5.64,553,Hw,25.6,1,
A2,C000,5.64,554,Hw,35,1,
A2,C000,5.64,555,Cw,11,1,
A2,C000,5.64,556,Hw,43.2,1,
A2,C000,5.64,557,Cw,11,1,
A2,C000,7.98,999,Sx,47,1,Extra Large Tree
A2,D200,7.98,353,Cw,10.7,1,
A2,D200,7.98,593,Hw,52.8,1,
A2,D200,7.98,594,Hw,12.2,4,
A2,D200,7.98,595,Hw,31,1,
A2,D200,7.98,596,Hw,33.6,1,
A2,D200,7.98,597,Hw,47,1,
A2,D200,7.98,598,Cw,21.2,1,
A2,D200,7.98,599,Hw,43,1,
A2,F000,3.99,354,Cw,12.3,4,Suspended in air
A2,F000,3.99,355,Cw,10.1,1,
A2,F000,3.99,355,Hw,20,1,
A2,F000,3.99,656,Hw,12.2,1,
A2,F000,3.99,657,Hw,11.6,4,Broken off at 3m
A2,F000,3.99,658,Hw,27.8,1,
A2,F000,3.99,659,Hw,22,2,Beetle Attack
A2,F000,3.99,660,Hw,25.4,1,
A2,F000,3.99,661,Hw,27.9,1,
A2,F000,3.99,662,Hw,10.8,2,
A2,F000,3.99,663,Hw,43.1,1,
A2,F000,3.99,664,Hw,33.7,1,
A2,G000,7.98,476,Hw,57.8,4,"Very decayed (broken at 4m), tag lost - retagged as 476"
A2,G000,7.98,477,Sx,11.2,1,
A2,G000,7.98,665,Hw,33.7,1,
A2,G000,7.98,666,Hw,14.8,1,
A2,G000,7.98,667,Hw,38.3,1,
