Unit,Gd Pt,Plot Size,Tree No,Spp,DBH,Tree Class,Comments
A2,G000,7.98,668,Hw,38.2,1,
A2,G000,7.98,669,Hw,31,1,
A2,G000,7.98,670,Hw,38.4,1,
A2,G000,7.98,671,Hw,35.7,1,
A2,G000,7.98,672,Hw,38.5,1,
A2,H050,7.98,108,Hw,12.2,1,
A2,H050,7.98,109,Sx,36.7,1,
A2,H050,7.98,110,Hw,14.9,1,
A2,H050,7.98,111,Cw,13,1,
A2,H050,7.98,112,Hw,11.1,2,Broken Top
A2,H050,7.98,113,Hw,16.5,4,Broken at 8m
A2,H050,7.98,114,Hw,10.9,1,
A2,H050,7.98,115,Hw,15,2,Estimated DBH
A2,H050,7.98,116,Hw,33,1,Estimated DBH
A2,H050,7.98,117,Hw,24.2,1,
A2,H050,7.98,118,Hw,33.5,1,
A2,H050,7.98,119,Hw,12.3,5,"Fallen and decaying, DBH Estimate"
A2,H050,7.98,120,Hw,26.1,1,
A2,H050,7.98,121,Hw,20.9,1,
A2,H050,7.98,122,Hw,35.5,1,
A2,H050,7.98,465,Hw,12.1,2,"Leaning at 60 degrees, branches green but sagging"
A2,H050,7.98,475,Hw,32.8,1,Missed in last data collection
A2,H350,3.99,690,Cw,86.9,1,Large cat face in butress
A2,H350,3.99,691,Ep,22.9,2,"Suspended at 45 degrees, DBH now out of plot"
A2,H350,3.99,692,Hw,20.6,1,
A2,H350,3.99,693,Hw,43,1,
A2,I250,5.64,142,Hw,41,1,
A2,I250,5.64,143,Hw,44.6,1,
A2,I250,5.64,144,Cw,18.7,1,
A2,I250,5.64,145,Cw,25.1,1,
A2,I250,5.64,146,Ep,23.5,4,Broken at 15m
A2,J150,3.99,161,Cw,11.7,1,heavy blowdown in plot
A2,J150,3.99,162,Hw,28.7,1,
A2,J150,3.99,163,Sx,13.3,5,
A2,J150,3.99,164,Hw,14.7,5,blown over but still green
A2,J150,3.99,165,Hw,31,1,
A2,J150,3.99,166,Hw,20.8,1,
A2,J150,3.99,474,Sx,12.3,1,
A2,K150,3.99,188,Hw,19.5,2,"Plot Stake Established, restablished plot from reference tree and to be consistent with location of trees within plot"
A2,K150,3.99,189,Hw,23.1,1,
A2,K150,3.99,190,Pl,21.8,1,
A2,K150,3.99,191,Hw,10.1,5,
A2,K150,3.99,192,Hw,27.1,1,
A2,K150,3.99,193,Pl,18.8,1,
A2,K150,3.99,194,Pl,21.5,1,
A2,K150,3.99,195,Hw,24.3,1,
A2,K150,3.99,196,Hw,30.2,1,
A2,K150,3.99,197,Cw,11.4,1,
A2,K150,3.99,198,Hw,12.9,2,
A2,K150,3.99,199,Hw,10.8,5,
A3,B050,5.64,485,Pl,15.5,1,
A3,B050,5.64,486,Hw,14.1,1,
A3,B050,5.64,487,Pl,17.3,1,
A3,B050,5.64,488,Sx,16.1,1,
A3,B050,5.64,489,Pl,15.9,1,
A3,B050,5.64,490,Sx,12.5,1,
A3,B050,5.64,491,Pl,16.9,1,
A3,B050,5.64,492,Sx,11.8,1,
A3,B050,5.64,493,Pl,12.8,1,
A3,B050,5.64,494,Pl,14.7,1,
A3,B050,5.64,495,Hw,17.3,1,
A3,B050,5.64,496,Pl,14.4,1,
A3,B050,5.64,497,Hw,10.9,1,
A3,B050,5.64,498,Sx,12.8,1,
A3,B050,5.64,499,Sx,12.8,1,
A3,B050,5.64,500,Sx,14.8,1,
A3,B200,5.64,338,Sx,12.1,1,
A3,B200,5.64,339,Ep,13.5,1,
A3,B200,5.64,340,Sx,15.6,1,
A3,C100,5.64,478,Sx,22.4,1,
A3,C100,5.64,480,Ep,10.8,1,
A3,C100,5.64,481,Sx,14.9,1,
A3,C100,5.64,482,Ep,12.8,1,
A3,C100,5.64,483,Sx,21.6,1,
A3,C100,5.64,484,Sx,18.1,1,
A3,C250,5.64,341,At,26.1,4,Woodpecker use - broken at 15m
A3,C250,5.64,342,Pl,19.1,1,
A3,C250,5.64,343,Hw,12.7,1,Forked at Ground with 8.4cm stem
A3,C250,5.64,344,Hw,14.9,1,
A3,C250,5.64,345,Hw,14.8,1,Forked at Ground
A3,C250,5.64,346,Hw,11,1,Forked at Ground
A3,C250,5.64,347,Hw,11.4,1,
A3,C250,5.64,348,Pl,19.6,2,Dothostroma
A3,C250,5.64,349,Ep,13.8,1,
A3,C250,5.64,350,Hw,10.9,1,Forked at Ground
A3,C250,5.64,351,Hw,12.2,1,Forked at Ground
A3,C250,5.64,352,Hw,16.6,1,
A3,G050,5.64,389,Sx,16.4,1,
A3,G050,5.64,390,Hw,18.1,1,
A3,G050,5.64,391,Pl,12.3,1,Forked together at 50cm
A3,G050,5.64,392,Pl,13.8,1,Forked together at 50cm
A3,G050,5.64,393,Sx,14.7,1,
A3,G050,5.64,394,Pl,17.2,1,
A3,G050,5.64,395,Pl,11.3,1,
A3,G050,5.64,396,Pl,11.1,4,
A3,G050,5.64,397,Pl,15,2,Dothostroma
A3,G050,5.64,398,Hw,18.2,1,
A3,G050,5.64,399,Pl,15.3,1,Forked at 2m
A3,G050,5.64,400,Pl,13.4,1,
A3,G050,5.64,479,Sx,16.6,1,
A3,G050,5.64,550,Pl,12.9,1,
A3,G050,5.64,551,Sx,17.3,1,
A3,G050,5.64,552,Hw,12.4,1,
A3,G050,5.64,553,Pl,20.4,1,Forked at 2m
B2,G150,7.98,326,Sx,15.6,1,
B2,G150,7.98,327,Cw,27.5,1,
B2,G150,7.98,328,Cw,28.6,1,
B4,E050,5.64,448,Sx,17.2,1,
B4,E050,5.64,449,Hw,10.1,1,
B4,E050,5.64,451,Sx,12.7,1,
B4,E050,5.64,452,Hw,11.9,1,Forked below DBH -> other fork DBH = 6.1cm
B4,F000,5.64,423,Sx,14.5,1,
B4,F000,5.64,424,Cw,13.3,1,
B4,F000,5.64,425,Sx,16.3,1,
B4,F000,5.64,426,Sx,10.8,1,
B4,F000,5.64,427,Sx,19.8,1,
B4,F000,5.64,428,Cw,12.5,1,
B4,F000,5.64,429,Sx,11.8,1,
B4,F000,5.64,430,Cw,10.4,1,
B4,F000,5.64,431,Sx,15.1,1,
B4,F000,5.64,432,Pl,13.2,1,
B4,F100,5.64,433,Cw,16.1,1,
B4,F100,5.64,434,Sx,14,1,
B4,F100,5.64,435,Sx,13.9,1,
B4,F100,5.64,436,Sx,18.2,1,
B4,F100,5.64,437,Cw,11.1,1,
B4,F100,5.64,438,Sx,18.4,1,
B4,F100,5.64,439,Sx,13,1,
B4,F100,5.64,440,Cw,10.1,1,
B4,F100,5.64,441,Sx,10.2,1,
B4,F100,5.64,442,Sx,13.3,1,
B4,F100,5.64,443,Sx,11.7,1,
B4,F100,5.64,444,Sx,15.5,1,
B4,F100,5.64,445,Cw,11.9,1,
B4,F100,5.64,446,Sx,16.8,1,
B4,F100,5.64,447,Cw,12.9,4,
B4,G000,7.98,401,Sx,12.2,1,
B4,G000,7.98,402,Sx,10.6,1,
B4,G000,7.98,403,Cw,11.9,1,
B4,G000,7.98,404,Sx,23.3,1,
B4,G000,7.98,405,Hw,12.2,1,
B4,G000,7.98,406,Sx,11.3,1,
B4,G000,7.98,407,Sx,14.7,1,
B4,G000,7.98,408,Sx,21.2,1,
B4,G000,7.98,409,Sx,24.5,1,
B4,G000,7.98,410,Sx,12.3,1,
B4,H050,7.98,411,Cw,11.4,1,
B4,H050,7.98,412,Sx,18.7,1,
B4,H050,7.98,413,Sx,16.7,1,
B4,H050,7.98,414,Sx,15,1,
B4,H050,7.98,415,Sx,11.7,1,
B4,H050,7.98,416,Sx,15.8,1,
B4,H050,7.98,417,Cw,10.5,1,
B4,H050,7.98,418,Sx,16.5,1,
B4,H050,7.98,419,Sx,11.5,1,
B4,H050,7.98,420,Pl,13.1,2,Dothostroma
B4,H050,7.98,421,Sx,22,1,
B4,H050,7.98,422,Sx,13.9,1,
B5,A200,7.98,101,Cw,13.1,1,
B5,A200,7.98,102,Hw,29.5,1,
B5,A200,7.98,103,Hw,24.5,1,
B5,A200,7.98,104,Hw,30.7,1,
B5,A200,7.98,105,Cw,20,5,Cutdown with chainsaw; DBH estimated
B5,A200,7.98,106,Hw,42.5,5,Cutdown with chainsaw; DBH estimated
B5,A200,7.98,107,Hw,37,5,Cutdown with chainsaw; DBH estimated
B5,A200,7.98,108,Hw,46.7,1,
B5,A200,7.98,109,Cw,24.4,1,
B5,A200,7.98,110,Cw,21,1,
B5,A200,7.98,111,Cw,19.9,1,
B5,A200,7.98,112,Cw,11.3,2,Broken Top
B5,A200,7.98,113,Hw,44.2,1,
B5,A200,7.98,114,Hw,42,1,
B5,A200,7.98,115,Hw,18.9,1,
B5,A200,7.98,116,Cw,18.9,1,
B5,A200,7.98,,Cw,11,4,"Cut down with Chainsaw, DBH measured approximate height"
B5,B350,5.64,146,Cw,81.3,1,Cat faced
B5,B350,5.64,147,Hw,30.7,1,
B5,B350,5.64,148,Cw,12.2,1,
B5,B350,5.64,149,Cw,36.2,4,Split trunk
B5,B350,5.64,150,Cw,23.9,1,
B5,B350,5.64,151,Cw,17.1,1,
B5,B350,5.64,152,Cw,38.9,1,
B5,B350,5.64,153,Cw,25,1,
B5,B350,7.98,999,Ep,50.4,1,Extra Large Tree
B5,B350,7.98,999,Hw,53.1,1,Extra Large Tree
B5,C300,5.64,154,Cw,18.6,1,
B5,C300,5.64,155,Cw,19.1,1,
B5,C300,5.64,156,Cw,23.1,1,
B5,C300,5.64,157,Hw,16.8,1,
B5,C300,5.64,158,Cw,25.7,1,
B5,C300,5.64,159,Cw,14.9,1,
B5,C300,5.64,160,Cw,13.8,1,
B5,C300,5.64,161,Cw,19.6,1,
B5,C300,5.64,162,Cw,10.4,4,Broken at 1.35m
B5,C300,7.98,999,Hw,61.1,1,Extra Large Tree
B5,D250,5.64,198,Cw,11,1,
B5,D250,5.64,199,Cw,20.5,1,
B5,D250,5.64,200,Cw,28.4,2,
B5,D250,5.64,201,Cw,11.7,1,
B5,D250,5.64,202,Cw,16.1,1,
B5,D250,5.64,203,Cw,14.9,1,
B5,D250,5.64,204,Cw,24.7,1,
B5,D250,5.64,205,Cw,12.6,1,
B5,D250,5.64,453,Hw,10.2,1,
B5,D250,5.64,454,Hw,11.2,1,
B5,D250,5.64,455,Sx,16.7,1,
B5,D250,5.64,456,Sx,10.9,1,
B5,D250,5.64,457,Hw,10.8,1,
B5,D250,5.64,458,Hw,11,1,
B5,E150,5.64,233,Cw,11.2,1,
B5,E150,5.64,234,Cw,19.5,1,
B5,E150,5.64,235,Cw,15,1,
B5,E150,5.64,236,Hw,53.6,1,
B5,E150,5.64,237,Cw,15,1,
B5,E150,5.64,238,Hw,28.2,1,
B5,E150,5.64,239,Hw,18,5,DBH Estimated
B5,E150,7.98,999,Hw,41.9,1,Extra Large Tree
B5,E150,7.98,999,Hw,44.5,1,Extra Large Tree
B5,E150,7.98,999,Hw,42,1,Extra Large Tree
B5,F000,3.99,248,Ep,25.1,1,
B5,F000,3.99,249,Ep,20.5,4,2m stub.
B5,F000,3.99,250,Ep,24.3,1,
B5,F000,3.99,251,Ep,24.9,1,
B5,F000,3.99,252,Ep,32.8,1,
B5,F000,3.99,253,Ep,30.1,1,
B5,F000,3.99,254,Ep,18.2,4,2m stub.
B5,F000,3.99,450,Cw,12.2,1,
B5,F000,3.99,459,Cw,23.5,1,
B5,F000,3.99,460,Hw,10.4,1,
B5,F000,3.99,461,Hw,11.4,1,
B5,F000,3.99,462,Cw,13.1,1,
B5,F000,7.98,999,Hw,57.7,1,Extra Large Tree
B5,F300,7.98,272,Ep,27.6,1,
B5,F300,7.98,273,Cw,19.9,1,
B5,F300,7.98,274,Hw,38.5,1,
B5,F300,7.98,275,Hw,35.2,1,
B5,F300,7.98,276,Hw,12.8,1,
B5,F300,7.98,277,Hw,33.1,1,
B5,F300,7.98,278,Ep,18.5,5,
B5,F300,7.98,279,Hw,35.5,1,
B5,F300,7.98,280,Cw,18.7,1,
B5,F300,7.98,281,Cw,15.9,1,
B5,F300,7.98,282,Cw,25.5,1,
B5,F300,7.98,283,Cw,11.2,1,
B5,G200,5.64,308,Cw,14.8,1,
B5,G200,5.64,309,Cw,13.8,1,
B5,G200,5.64,310,Hw,38.6,1,
B5,G200,5.64,311,Hw,9.9,4,"Leaning at 45 degrees, broken at 6m"
B5,G200,5.64,312,Hw,35.3,1,
B5,G200,5.64,313,Hw,14.1,1,
B5,G200,5.64,314,Cw,10.1,1,
B5,G200,5.64,315,Cw,16.1,1,
B5,G200,5.64,316,Cw,12.3,1,
B5,G200,5.64,317,Cw,17.2,1,
B5,G200,5.64,318,Hw,39.3,1,
B5,G200,5.64,319,Cw,14.9,1,
B5,G200,5.64,320,Cw,13.9,1,
B5,G200,5.64,321,Cw,12.1,1,
B5,G200,7.98,999,Hw,53.3,1,Extra Large Tree
B5,H100,5.64,340,Hw,49.7,1,
B5,H100,5.64,341,Hw,42.7,11,
B5,H100,5.64,342,Cw,12.6,1,Corrected Species from Hw to Cw
B5,H100,5.64,343,Hw,33.8,1,
B5,H100,5.64,344,Hw,36.4,1,
B5,H100,5.64,345,Cw,16.9,1,
B5,H300,3.99,348,Hw,29.3,1,
B5,H300,3.99,349,Hw,32.2,1,
B5,H300,3.99,350,Hw,17.3,1,"original gps coord inaccurate, corrected here"
B5,H300,3.99,351,Hw,18.8,1,Forked at 1.8m
B5,H300,3.99,352,Ep,22.7,1,One 4 stemmed Birch copse
B5,H300,3.99,353,Ep,22.9,1,One 4 stemmed Birch copse
B5,H300,3.99,354,Ep,20.7,1,One 4 stemmed Birch copse
B5,H300,3.99,355,Ep,25.7,1,One 4 stemmed Birch copse
B5,H300,7.98,999,Hw,43.4,1,
B5,H300,7.98,999,Cw,47.2,1,
C2,J050,7.98,,Sx,,,Plot not located
C2,J050,7.98,,Hw,,,
C2,J050,7.98,,Hw,,,
C2,J050,7.98,,Hw,,,
C2,J050,7.98,,Hw,,,
C2,J300,5.64,,Cw,,,Plot not located
C2,J300,5.64,,Hw,,,
C2,J300,5.64,,Hw,,,
C2,J300,5.64,,Hw,,,
C2,J300,5.64,,Hw,,,
C2,J300,5.64,,Cw,,,
C2,J300,5.64,,Hw,,,
C2,J300,5.64,,Hw,,,
C2,J300,5.64,,Cw,,,
C2,J300,5.64,,Cw,,,
C2,J300,5.64,,Hw,,,
C3,C000,5.64,314,Hw,13.1,1,
C3,C000,5.64,315,Hw,10.2,1,
C3,C000,5.64,317,Hw,10.8,1,
C3,C000,5.64,318,Hw,12.8,1,
C3,C000,5.64,319,Hw,11.4,1,
C3,C000,5.64,320,Hw,10.7,1,
C3,C000,5.64,321,Hw,10.4,1,
C3,C000,5.64,344,Hw,17,1,Plot in depression with large tree fallen on top of plot
C3,C000,7.98,999,Hw,56.8,1,
C3,D000,5.64,312,Hw,12.4,1,
C3,D000,5.64,313,Hw,11.5,1,
C3,D100,7.98,322,Cw,13.2,1,
C3,D100,7.98,323,Cw,10.7,1,
C3,D100,7.98,324,Sx,11.7,1,
C3,D100,7.98,325,Cw,12.2,1,
C3,D100,7.98,371,Hw,48.9,1,
C3,D100,7.98,372,Hw,42.7,1,
C3,D350,5.64,326,Sx,11.3,1,
C3,D350,5.64,391,Hw,37,1,
C3,D350,5.64,392,Hw,36.4,1,
C3,D350,5.64,393,Hw,21.8,1,
C3,D350,5.64,394,Hw,28.1,1,
C3,D350,5.64,395,Hw,10.8,4,
C3,D350,5.64,396,Hw,28.2,2,
C3,E300,3.99,327,Hw,10.1,1,
C3,E300,3.99,397,Hw,38.8,1,
C3,E300,3.99,398,Hw,24.5,1,
C3,E300,3.99,399,Hw,39.9,1,
C3,E300,3.99,400,Bl,13.5,2,
C3,E300,3.99,401,Hw,13.1,4,
C3,E300,3.99,402,Hw,20.5,1,
C3,E300,3.99,403,Hw,10,4,
C3,F350,7.98,328,Hw,22.3,4,Located plot with several large trees
C3,F350,7.98,329,Hw,17.2,1,
C3,F350,7.98,330,Hw,35.2,1,
C3,F350,7.98,331,Hw,45.6,1,
C3,F350,7.98,332,Hw,24.9,1,
C3,F350,7.98,333,Hw,15.7,4,Broken at 5m
C3,F350,7.98,334,Hw,12.4,2,Broken at 10m
C3,F350,7.98,335,Hw,31.4,1,
C3,F350,7.98,336,Hw,16.2,2,Broken at 15m
C3,F350,7.98,337,Hw,11.1,1,
C3,G250,7.98,448,Hw,43.7,1,
C3,G250,7.98,449,Hw,20.1,4,
C3,G250,7.98,450,Hw,38.3,1,
C3,G250,7.98,451,Hw,12.8,5,Species correction from Bl to Hw
C3,G250,7.98,452,Hw,48.4,1,
C3,G250,7.98,453,Bl,15.6,4,
C3,H100,5.64,479,Hw,17.3,2,
C3,H100,5.64,480,Hw,12.8,4,
C3,H100,5.64,481,Hw,42.6,1,
C3,H100,5.64,482,Sx,27.4,4,"Large hole on one side of tree, DBH measured from high point of base (POG)"
C3,H100,5.64,483,Cw,15.1,2,
C3,H100,5.64,484,Bl,15.8,2,
C3,H100,5.64,485,Sx,46.7,1,
C3,H100,5.64,486,Hw,29.1,1,
C3,H100,7.98,999,Sx,60.4,4,Extra Large Tree
C3,H100,7.98,999,Sx,40.4,4,Extra Large Tree
C3,H100,7.98,999,Sx,45.2,1,Extra Large Tree
C3,I000,5.64,494,Cw,10.4,4,
C3,I000,5.64,495,Hw,22.2,1,
C3,I000,5.64,496,Hw,36.6,1,
C3,I000,5.64,497,Hw,34.3,1,
C3,I000,5.64,498,Cw,18.7,1,
C3,I000,5.64,499,Hw,38.9,1,
C3,I000,7.98,999,Hw,41.2,1,Extra Large Tree
C3,I000,5.64,500,Hw,23.4,1,
C3,J100,3.99,524,Hw,42.1,1,
C3,J100,3.99,525,Hw,29,1,
C3,J100,3.99,526,Hw,30.9,1,
C3,J100,3.99,527,Hw,28.7,1,
C3,J100,3.99,528,Hw,25.3,4,Tree Class Correction - Broken at 2m
C3,J100,3.99,529,Hw,17.7,1,Tree Class Correction
C3,J100,7.98,999,Hw,49.8,1,Extra Large Tree
C3,J100,7.98,999,Hw,47.9,1,Extra Large Tree
C3,J100,7.98,999,Cw,46.7,1,Extra Large Tree
D2,A050,5.64,368,Pl,10,2,
D2,A050,5.64,369,Sx,11.2,1,
D2,A050,5.64,370,Pl,14,2,
D2,A050,5.64,371,Sx,12,1,
D2,A050,5.64,372,Hw,10.8,1,
D2,A150,5.64,373,Hw,10.8,1,
D2,A150,5.64,374,Hw,16,1,Forked at ground
D2,A150,5.64,375,Hw,16.5,1,Forked at ground
D2,A150,5.64,376,Hw,11.2,1,Forked at ground
D2,A150,5.64,377,Hw,11.8,1,
D2,A150,5.64,378,Hw,11.9,1,
D2,A150,5.64,379,Hw,12.5,1,
D2,A150,5.64,380,Hw,12.4,1,
D2,A150,5.64,381,Sx,19,1,
D2,C200,5.64,382,Hw,15.4,1,
D2,C200,5.64,383,Hw,13.7,1,
D2,C200,5.64,384,Hw,12,1,
D2,C200,5.64,385,Pl,11.9,2,Dothostroma
D2,C200,5.64,386,Pl,14.7,2,Dothostroma
D2,C200,5.64,387,Hw,10.1,1,
D2,C200,5.64,388,Hw,12.7,1,Forked at Ground
D2,C200,5.64,389,Hw,14.2,1,Forked at Ground
D2,C200,5.64,390,Pl,14.7,2,Dothostroma
D2,C200,5.64,391,Pl,17.6,1,
D2,C200,5.64,392,Hw,21.5,1,
D2,C200,5.64,393,Hw,16.5,1,
D2,C200,5.64,394,Sx,14.6,1,
D2,C200,5.64,395,Pl,12.5,2,Dothostroma
D2,C200,5.64,396,Pl,15.6,2,Dothostroma
D2,F150,5.64,101,Hw,10,1,
D2,F150,5.64,102,Sx,13.8,1,
D2,F150,5.64,103,Sx,15,1,
D2,F150,5.64,104,Hw,13.8,1,
D2,F150,5.64,105,Sx,10.2,1,Forked at Ground
D2,F150,5.64,106,Sx,11.5,1,Forked at Ground
D2,F150,5.64,397,Hw,12.5,1,
D2,F150,5.64,398,Hw,11.3,1,
D2,F150,5.64,399,Sx,11.8,1,
D2,F150,5.64,400,Hw,12.9,1,
D2,F250,5.64,107,Pl,18.3,1,
D2,F250,5.64,108,Hw,13.9,1,
D2,F250,5.64,109,Pl,15.9,1,
D2,F250,5.64,110,Bl,12.6,1,
D2,F250,5.64,111,Pl,15.1,1,
D2,F250,5.64,112,Sx,12.4,1,
D2,F250,5.64,113,Pl,11,1,
D2,F250,5.64,114,Pl,15.8,1,
D2,F250,5.64,115,Pl,13.9,1,
D3,C550,7.98,116,Hw,10.9,1,
D3,C550,7.98,646,Hw,27.8,1,
D3,C550,7.98,647,Hw,22.3,1,
D3,C550,7.98,648,Hw,,5,"Stem crushed by blowdown - in several pieces, no measurable DBH"
D3,C550,7.98,649,Hw,55,5,Rough DBH Estimate
D3,C550,7.98,650,Hw,70.9,1,
D3,C550,7.98,651,Hw,,5,"Stem crushed by blowdown - in several pieces, no measurable DBH"
D3,C550,7.98,652,Cw,64.2,1,
D3,C550,7.98,653,Hw,47,4,"6m tall stub, DBH estimated"
D3,C550,7.98,654,Hw,51,1,
D3,C550,7.98,655,Hw,47.1,4,Broken at 4m
D3,C550,7.98,656,Hw,59.5,1,
D4,E000,7.98,357,Sx,17.6,1,
D4,E000,7.98,358,Sx,25.6,1,
D4,E000,7.98,359,Sx,19.8,1,
D4,E000,7.98,360,Ba,16.3,1,
D4,E000,7.98,361,Hw,12.1,1,
D4,E000,7.98,362,Sx,20.7,1,
D4,E000,7.98,363,Hw,11.5,1,
D4,E000,7.98,364,Sx,14.1,2,
D4,E000,7.98,365,Cw,11,1,
D4,E000,7.98,366,Ba,12,1,
D4,E000,7.98,367,Sx,11.1,1,
D4,E000,7.98,597,Hw,93.1,5,Fallen tree
D5,A250,7.98,118,Ba,14.1,1,
D5,A250,7.98,371,Hw,57.5,1,
D5,A250,7.98,372,Hw,70.9,1,
D5,A250,7.98,373,Hw,28.2,1,
D5,C050,7.98,399,Hw,58.9,1,
D5,C050,7.98,400,Hw,36.1,4,5m stub
D5,C050,7.98,401,Hw,10.5,5,Suspended on smaller tree
D5,C050,7.98,402,Hw,16.8,1,
D5,C050,7.98,403,Ba,36.9,1,Tag Present but broken
D5,C050,7.98,404,Ba,36.9,1,
D5,C050,7.98,405,Ba,32.6,1,
D5,C050,7.98,406,Ba,39.5,4,
D5,C350,7.98,117,Hw,11.9,1,
D5,C350,7.98,383,Hw,43,1,
D5,C350,7.98,384,Hw,46.7,1,
D5,C350,7.98,385,Hw,55.2,1,
D5,C350,7.98,386,Hw,56.1,1,
D5,C350,7.98,387,Hw,73.4,1,
D5,D400,5.64,449,Hw,62.8,1,2010 measurement is likely typo
D5,D400,5.64,450,Hw,36.7,4,5m stub
D5,D400,5.64,451,Hw,29.4,1,
D5,D400,5.64,452,Ba,52.1,1,
D5,D400,5.64,453,Hw,36.3,2,
D5,E200,7.98,470,Hw,39.1,1,
D5,E200,7.98,471,Hw,40.1,1,
D5,E200,7.98,472,Hw,64.4,1,"POG unclear, DBH painted previously"
D5,F050,7.98,498,Hw,64.4,1,
D5,F050,7.98,499,Hw,41.1,1,Broken Top
D5,F050,7.98,500,Hw,42.7,1,
D5,F050,7.98,501,Cw,11.3,4,Fallen but suspended in branches
D5,F050,7.98,502,Hw,60.5,4,Broken at 25m
D5,F050,7.98,503,Ba,34.8,1,
D5,F050,7.98,504,Hw,46.9,1,"DBH line painted at 135cm from POG, diamter measured at line = 46.7"
D5,F150,5.64,517,Hw,40.7,1,
D5,F150,5.64,518,Hw,47.7,1,
D5,F150,5.64,519,Hw,25.3,5,
D5,F150,5.64,520,Hw,53.5,2,Rot with conks
D5,F150,5.64,521,Hw,23,4,Estimated DBH
D5,F150,5.64,522,Hw,51,1,Estimated DBH
D5,F350,11.28,459,Hw,50.4,1,
D5,F350,11.28,460,Hw,87.1,1,
D5,F350,11.28,461,Hw,80,1,
D5,F350,11.28,462,Hw,96.7,1,
D5,G300,5.64,541,Ba,38.7,1,
D5,G300,5.64,542,Ba,45.1,1,
D5,G300,5.64,543,Hw,35,1,
D5,G300,5.64,544,Hw,18.9,1,
D5,G300,5.64,545,Ba,35.7,1,
D5,G300,7.98,999,Hw,46.7,1,Extra Large Tree
D5,H100,7.98,536,Hw,78.4,1,
D5,H100,7.98,537,Hw,33.8,5,
D5,H100,7.98,538,Hw,68.7,1,
D5,H100,7.98,539,Hw,20.2,1,
D5,H100,7.98,540,Ba,50.3,1,
