Unit,Gd Pt,radius,Tree No,Spp,DBH 2018,DBH 22,HT 22,T class 2018,CLASS 22,PATH 1,PATH2,PATH3,COMMENTS,COMMENTS 22,,,
A1,A000,5.64,576,Sx,41.5,16.5,10.8,1,2,FRK 3,,,,dbh GOOD they entered og backwards?,,,
A1,A000,5.64,577,Cw,52.2,17.6,10.3,1,1,,,,,same as above,,,
A1,A000,5.64,578,Sx,14.9,19.3,14.5,1,1,,,,,,,,
A1,A000,5.64,579,Sx,15.5,13.4,12.6,1,1,,,,,D GOOD,,,
A1,A000,5.64,580,Sx,17.1,13.1,10.4,1,1,,,,,D GOOD,,,
A1,A000,5.64,606,Cw,,10.1,8.2,,1,,,,,ingress,,,
A1,A000,5.64,607,Cw,,10.1,8.8,,1,,,,,ingress,,,
A1,A000,5.64,608,Hw,,12.8,10.8,,1,,,,,ingress,,,
A1,A000,5.64,609,Hw,,11.6,10.0,,1,,,,,ingress,,,
A1,A000,5.64,610,Hw,,10.0,10.4,,1,,,,,ingress,,,
A1,B050,5.64,564,Hw,21.2,15.4,12.8,1,1,,,,,SPP,,,
A1,B050,5.64,565,Hw,10.7,15.7,13.3,1,1,,,,,SPP,,,
A1,B050,5.64,566,Sx,13,16.6,11.9,1,2,CRO 5,,,,,,,
A1,B050,5.64,567,Pl,14.9,13.5,12.6,1,1,,,,,D GOOD,,,
A1,B050,5.64,568,sx,18.3,19.0,13.5,1,2,FRK 2,,,,SPP,,,
A1,B050,5.64,569,Pl,12.8,14.7,14.1,1,1,,,,,,,,
A1,B050,5.64,570,Sx,17,17.4,11.5,1,2,FRK 1,,,,frk at base,,,
A1,B050,5.64,571,Hw,12.7,19.6,14.1,1,1,,,,,SPP,,,
A1,B050,5.64,572,Pl,15.7,13.6,13.4,1,1,,,,,,,,
A1,B150,5.64,573,Sx,17.4,22.1,14.4,1,2,FRK 3,,,,,,,
A1,B150,5.64,574,Ac,12.5,76.2,41.7,1,2,DTP 3,FRK 3,,,prev At  new dbh good ,,,
A1,B150,5.64,575,Ep,20.5,,,2,,,,,,not found,,,
A1,B150,5.64,575,Sx,24,23.7,16.2,1,1,,,,,unknown def minor,,,
A1,B150,5.64,611,Hw,,13.4,10.3,,1,,,,,,,,
A1,B150,5.64,612,Sx,,24.4,11.4,,2,FRK 3,,,,unknown def minor,,,
A1,C050,5.64,562,Sx,20.7,23.2,16.2,1,1,,,,,SPP ,,,
A1,C050,5.64,563,Sx,24.9,12.5,10.6,1,1,,,,,SPP ,,,
A1,C150,5.64,554,Sx,,17.8,13.0, ,2,FRK 3,,,,missed,,,
A1,C150,5.64,556,Cw,,13.5,9.1, ,1,,,,,missed,,,
A1,C150,5.64,557,Sx,14.7,23.7,13.9,1,2,CRO 2,,,,,,,
A1,C150,5.64,558,Pl,11.4,10.7,12.7,1,1,,,,,D GOOD,,,
A1,C150,5.64,559,Pl,21.6,14.3,13.8,1,2,CRO 3,,,,D GOOD,,,
A1,C150,5.64,560,Sx,10.4,23.8,12.8,1,1,,,,,called bl prev/ d good,,,
A1,C150,5.64,561,Sx,13.2,27.4,16.6,1,1,,,,,D GOOD,,,
A1,C150,5.64,604,Sx,,10.6,10.1,,1,,,,,,,,
A1,C150,5.64,605,Hw,,10.5,10.7,,1,,,,,,,,
A1,C250,5.64,548,Sx,16,21.9,17.6,1,1,,,,,,,,
A1,C250,5.64,549,Sx,15.9,17.5,12.7,1,1,,,,,,,,
A1,C250,5.64,550,Sx,21.2,14.4,5.9,2,2,FRK 2,,,,D GOOD,,,
A1,C250,5.64,551,Cw,15.7,14.5,9.7,1,1,,,,,D GOOD,,,
A1,C250,5.64,552,Hw,14.4,18.5,15.3,1,1,,,,,,,,
A1,C250,5.64,553,Sx,12.1,21.7,14.5,1,1,,,,,,,,
A1,C250,5.64,555,Hw,15.2,18.2,14.7,1,2,CRO 2,,,,,,,
A1,C250,5.64,613,Cw,,10.3,9.7, ,1,,,,,,,,
A1,D000,5.64,522,Sx,11.3,21.6,12.7,1,1,,,,, , ,,
A1,D000,5.64,523,Cw,11.2,16.5,10.9,1,1,,,,,,,,
A1,D000,5.64,524,Sx,18.5,16.1,12.5,1,2,CRO 2,,,,,,,
A1,D000,5.64,525,Pl,13.2,17.1,13.8,1,1,,,,,,,,
A1,D000,5.64,526,Sx,13.8,19.1,15.5,1,1,,,,,,,,
A1,D000,5.64,527,Pl,16.7,18.0,12.8,1,1,,,,,,,,
A1,D000,5.64,601,Hw, ,10.2,9.5,,1,,,,,ingress,,,
A1,D000,5.64,602,Hw,,15.1,14.6,,1,,,,,,,,
A1,D100,5.64,528,Pl,16.9,14.4,13.7,2,2,CRO 2,SCA 1,,,DBH GOOD,,,
A1,D100,5.64,529,Pl,15.3,14.8,13.8,1,1,,,,,,,,
A1,D100,5.64,530,Sx,13.6,26.5,15.3,1,2,CRO 2,,,,,,,
A1,D100,5.64,531,Sx,15.4,11.5,12.5,1,1,,,,,DBH GOOD PREV WRONG ,,,
A1,D100,5.64,532,Sx,24.6,20.3,15.1,1,1,,,,,dbh good ,,,
A1,D100,5.64,533,Sx,10.3,19.3,15.5,1,1,,,,,,,,
A1,D100,5.64,534,Sx,18.9,22.0,17.1,1,1,,,,,,,,
A1,D100,5.64,535,Sx,17.6,19.0,13.4,1,1,,,,,,,,
A1,D100,5.64,603,Pl,,15.8,14.5, ,1,FRK 1,,,,frk minor,,,
A1,D200,7.98,536,Sx,20,19.6,13.4,1,1,,,,,d good / unknown def major,,,
