Unit,Gd Pt,radius,Spp,DBH,DBH 22,Class,CLASS 22,Comments,COMMENTS 22
A3,A100,1.26,Hw,4.8,6.9,,1,,
A3,A100,1.26,Hw,5.4,8.6,,1,,
A3,A100,1.26,Hw,5.8,,,,,not found
A3,A300,2.52,Hw,,8.8,,1,,
A3,A300,2.52,Hw,,4.7,,1,,
A3,A300,2.52,Sx,,5.6,,1,,
A3,A300,2.52,Hw,,6.2,,1,,
A3,A300,2.52,Hw,,5.2,,1,,
A3,B200,2.52,Sx,5.5,5.6,1,2,Horizontal,swp7
A3,C100,1.26,Hw,4.4,5.7,1,1,,
A3,C100,1.26,Ep,,8.4,,1,,
A3,C100,1.26,Ep,,6.8,,1,,
A3,C100,1.26,Cw,,5.8,,1,,
A3,C250,1.26,At,4,4.6,1,1,,
A3,C250,1.26,Ep,6.1,6.6,1,1,,
A3,D000,2.52,Cw,,5.6,,2,,swp
A3,D000,2.52,Cw,,9.6,,1,,SPP Hw
A3,D200,2.52,Cw,5.5,5.5,,1,,
A3,D200,2.52,Hw,7.5,8.3,,1,,
A3,D200,2.52,Cw,,7.7,,2,,"plot radius recorded as 3.99, assume mistake and changed to 2.52"
A3,D200,2.52,Cw,,8.1,,2,,"plot radius recorded as 3.99, assume mistake and changed to 2.52"
A3,D350,2.52,Cw,6,8.7,,1,,
A3,D350,2.52,Sx,4,5.2,,1,,
A3,D350,2.52,Cw,,5.7,,1,,
A3,E300,1.26,Hw,8.7,9.4,,1,,
A3,E300,1.26,Sx,6.9,9.2,,1,,
A3,E300,1.26,Sx,,6.9,,1,,
A3,H000,1.26,Ac,9.8,,,,,tree 962
A3,H000,1.26,Sx,6.5,6.7,,1,,
A3,I350,1.26,Ep,4.9,NA,,,,NO INTERMEDIATE TREES WITHIN 1.26
A3,I350,1.26,Ep,6.3,,,,,
A3,I350,1.26,Hw,4.1,,,,,
A3,I350,1.26,Hw,6.1,,,,,
A3,I350,1.26,Sx,4,,,,,
A3,I350,1.26,Sx,5.1,,,,,
A3,I350,1.26,Sx,6.1,,,,,
A3,J050,2.52,Ep,8.1,8.1,,1,,
A3,J050,2.52,Ep,8.9,9.2,,1,,
A3,J050,2.52,Ep,,4.9,,1,,
A3,J050,2.52,Ep,,5.2,,1,,
A3,J050,2.52,Hw,,6.3,,1,,
A3,J300,2.52,Sx,,5.5,,1,,
A3,J300,2.52,Sx,,6.2,,1,,
A4,D200,3.99,Cw,,7.7,,2,,
A4,D200,3.99,Cw,,8.1,,2,,
A4,D400,3.99,Cw,,7.4,,1,,
A4,D400,3.99,Hw,,5.5,,4,,
A4,D400,3.99,Cw,,5.8,,1,,
A4,D400,3.99,Cw,,7.9,,1,,
A4,D400,3.99,Cw,,5.0,,1,,
A4,D400,3.99,Cw,,7.9,,1,,
A4,D400,3.99,Cw,,7.4,,1,,LEANING
A4,E350,3.99,Cw,,9.5,,1,,
A4,F150,3.99,Cw,,7.0, ,1,,
A4,G050,2.52,Cw,,9.3,,2,,
A4,H400,3.99,Cw,,4.9,,1,,LEANING
A4,J100,2.52,Hw,5.1,5.8,,1,,
A4,J100,2.52,Hw,6,6.4,,1,,
A4,J300,3.99,Cw,7,,,DF,,
A4,J300,3.99,Hw,,7.8,,4,,
A4,K100,2.52,Cw,9.1,9.1,,2,,
A4,K100,2.52,Cw,,4.8,,2,,
B1,A050,3.99,Cw,4.0,,,,,"all now dead standing, 5cw total"
